year,state,paid_holders,resident_licenses,nonresident_licenses,gross_cost,resident_cost,nonresident_cost,fips,pop,council_id,council_name
2022,Massachusetts,203629.0,439311.0,32708.0,6011989.0,5417615.0,594374.0,25,,1,New England
2022,Michigan,1073782.0,881407.0,245825.0,29663082.0,21091752.0,8571330.0,26,,0,No Council
2022,Minnesota,1415040.0,1238367.0,340439.0,38721545.0,26426546.0,12294998.0,27,,0,No Council
2022,Mississippi,326571.0,341281.0,62856.0,6275720.0,4564212.0,1711508.0,28,,4,Gulf of Mexico
2022,Missouri,714054.0,1050321.0,169172.0,12850739.0,9117801.0,3732938.0,29,,0,No Council
2022,Montana,424807.0,720113.0,609020.0,22627443.0,6444926.0,16182516.0,30,,0,No Council
2022,Commonwealth of the Northern Mariana Islands,585.0,280.0,0.0,3193.0,3193.0,,69,,8,Western Pacific
2022,Nebraska,218186.0,297398.0,71143.0,7300866.0,6076858.0,1224008.0,31,,0,No Council
2022,Nevada,147861.0,111628.0,45121.0,5066206.0,3108187.0,1958019.0,32,,0,No Council
2022,New Hampshire,159699.0,127699.0,55344.0,6642963.0,4390616.0,2252348.0,33,,1,New England
2022,New Jersey,166068.0,228754.0,26398.0,5383023.0,4678173.0,704850.0,34,,2,Mid-Atlantic
2022,New Mexico,245639.0,512615.0,231776.0,8427697.0,5536589.0,2891108.0,35,,0,No Council
2022,New York,955791.0,1083276.0,164884.0,23930484.0,18604710.0,5325774.0,36,,2,Mid-Atlantic
2022,North Carolina,1450542.0,725950.0,226448.0,27137810.0,22002199.0,5135611.0,37,,2,Mid-Atlantic
2022,North Dakota,206098.0,146816.0,64844.0,4266198.0,1999099.0,2267099.0,38,,0,No Council
2022,Ohio,828216.0,744950.0,125053.0,17923437.0,14894240.0,3029198.0,39,,0,No Council
2022,Oklahoma,862720.0,271146.0,119808.0,13255727.0,9187938.0,4067789.0,40,,0,No Council
2022,Oregon,624032.0,873676.0,242927.0,28716614.0,21568406.0,7148208.0,41,,5,Pacific
2022,Pennsylvania,1026122.0,1249705.0,127741.0,25627851.0,21683654.0,3944197.0,42,,2,Mid-Atlantic
2022,Puerto Rico,0.0,0.0,0.0,,,,72,,7,Caribbean
2022,Rhode Island,58345.0,81833.0,17978.0,1038638.0,793190.0,245448.0,44,,1,New England
2022,South Carolina,600672.0,577453.0,166367.0,7572106.0,4454033.0,3118072.0,45,,3,South Atlantic
2022,South Dakota,207144.0,133631.0,74519.0,6737773.0,3290642.0,3447132.0,46,,0,No Council
2022,Tennessee,891247.0,718845.0,163338.0,19480826.0,13409496.0,6071330.0,47,,0,No Council
2022,Texas,2104641.0,2430567.0,137340.0,74840032.0,69444990.0,5395042.0,48,,4,Gulf of Mexico
2022,United States Virgin Islands,0.0,0.0,0.0,,,,78,,7,Caribbean
2022,Utah,503276.0,402851.0,130274.0,20266089.0,15240531.0,5025558.0,49,,0,No Council
2022,Vermont,115391.0,76092.0,43483.0,3769374.0,2129972.0,1639402.0,50,,0,No Council
2022,Virginia,618383.0,859739.0,89835.0,27533487.0,24852525.0,2680963.0,51,,2,Mid-Atlantic
2022,Washington,728467.0,1352297.0,119584.0,37797327.0,34270906.0,3526422.0,53,,5,Pacific
2022,West Virginia,253461.0,516812.0,149379.0,5987872.0,4501876.0,1485996.0,54,,0,No Council
2022,Wisconsin,1287890.0,1228785.0,406369.0,35196375.0,26006948.0,9189427.0,55,,0,No Council
2022,Wyoming,242070.0,107603.0,208380.0,8132868.0,2315141.0,5817727.0,56,,0,No Council
2021,Alabama,591057.0,609589.0,143334.0,16494178.0,10948641.0,5545538.0,1,,4,Gulf of Mexico
2021,Alaska,432758.0,217695.0,411044.0,27069099.0,4982211.0,22086888.0,2,,6,North Pacific
2021,American Samoa,0.0,0.0,0.0,,,,60,,8,Western Pacific
2021,Arizona,418579.0,334456.0,93915.0,14582502.0,9814954.0,4767548.0,4,,0,No Council
2021,Arkansas,523324.0,441438.0,186695.0,13867263.0,4859195.0,9008068.0,5,,0,No Council
2021,California,1610505.0,2330236.0,156692.0,73171848.0,68302069.0,4869779.0,6,,5,Pacific
2021,Colorado,838966.0,827564.0,469506.0,22508453.0,13242520.0,9265934.0,8,,0,No Council
2021,Connecticut,144910.0,276264.0,19798.0,4908772.0,4278302.0,630470.0,9,,1,New England
2021,Delaware,81796.0,61226.0,36985.0,1545408.0,723028.0,822380.0,10,,2,Mid-Atlantic
2021,District of Columbia,6525.0,1517.0,5008.0,91222.0,17239.0,73983.0,11,,0,No Council
2021,Florida,1566816.0,1475599.0,722445.0,45321554.0,22681391.0,22640163.0,12,,3,South Atlantic
2021,Georgia,1116830.0,1275569.0,168472.0,14987247.0,12212310.0,2774936.0,13,,3,South Atlantic
